item #0: 
original: https://picpay.com/site/privacidade
inserido: https://picpay.com/site/privacidade
posicao: 1
,item #1: 
original: https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/
inserido: https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/
posicao: 2
,item #2: 
original: https://help.shopee.com.br/br/s/article/pol%C3%ADticas-de-privacidade
inserido: https://help.shopee.com.br/br/s/article/pol%C3%ADticas-de-privacidade
posicao: 3
,item #3: 
original: https://www.resso.app/privacy
inserido: https://www.resso.app/privacy
posicao: 4
,item #4: 
original: https://m.kwai.com/public/protocol/privacy
inserido: https://m.kwai.com/public/protocol/privacy
posicao: 5
,item #5: 
original: http://www.whatsapp.com/legal/#Privacy
inserido: http://www.whatsapp.com/legal/#Privacy
posicao: 6
,item #6: 
original: https://www.tiktok.com/legal/privacy-policy
inserido: https://www.tiktok.com/legal/privacy-policy
posicao: 7
,item #7: 
original: https://www.americanas.com.br/hotsite/politica-de-privacidade
inserido: https://www.americanas.com.br/hotsite/politica-de-privacidade
posicao: 8
,item #8: 
original: http://instagram.com/legal/privacy/
inserido: http://instagram.com/legal/privacy/
posicao: 9
,item #9: 
original: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
inserido: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
posicao: 10
,item #10: 
original: http://www.shein.com/Privacy-Security-Policy-a-282.html
inserido: http://www.shein.com/Privacy-Security-Policy-a-282.html
posicao: 11
,item #11: 
original: https://www.ifood.com.br/privacidade
inserido: https://www.ifood.com.br/privacidade
posicao: 12
,item #12: 
original: https://sac.uol.com.br/info/protecao_privacidade/normas_protecao_privacidade.jhtm
inserido: https://sac.uol.com.br/info/protecao_privacidade/normas_protecao_privacidade.jhtm
posicao: 13
,item #13: 
original: https://app.qrbot.net/privacy.html
inserido: https://app.qrbot.net/privacy.html
posicao: 14
,item #14: 
original: https://m.extra.com.br/atendimento/politica-privacidade
inserido: https://m.extra.com.br/atendimento/politica-privacidade
posicao: 15
,item #15: 
original: https://www.enjoei.com.br/ajuda/200677780
inserido: https://www.enjoei.com.br/ajuda/200677780
posicao: 16
,item #16: 
original: https://nubank.com.br/contrato/politica-privacidade/
inserido: https://nubank.com.br/contrato/politica-privacidade/
posicao: 17
,item #17: 
original: http://ayuda.mercadolibre.com.ar/ayuda/Politicas-de-privacidad_993
inserido: http://ayuda.mercadolibre.com.ar/ayuda/Politicas-de-privacidad_993
posicao: 18
,item #18: 
original: https://www.starmakerstudios.com/#/privacy
inserido: https://www.starmakerstudios.com/#/privacy
posicao: 19
,item #19: 
original: http://www.wish.com/privacy_policy
inserido: http://www.wish.com/privacy_policy
posicao: 20
,item #20: 
original: https://sites.google.com/view/newmusic-privacy
inserido: https://sites.google.com/view/newmusic-privacy
posicao: 21
,item #21: 
original: https://99app.com/legal/termos/passageiros/
inserido: https://99app.com/legal/termos/passageiros/
posicao: 22
,item #22: 
original: https://m.magazineluiza.com.br/s/politica-de-privacidade
inserido: https://m.magazineluiza.com.br/s/politica-de-privacidade
posicao: 23
,item #23: 
original: http://www.netflix.com/privacy
inserido: http://www.netflix.com/privacy
posicao: 24
,item #24: 
original: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
inserido: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
posicao: 25
,item #25: 
original: https://lv.faceueditor.com/clause/privacy?language=en
inserido: https://lv.faceueditor.com/clause/privacy?language=en
posicao: 26
,item #26: 
original: https://portalservicos.denatran.serpro.gov.br/#/carteiradigital/politicaprivacidade
inserido: https://portalservicos.denatran.serpro.gov.br/#/carteiradigital/politicaprivacidade
posicao: 27
,item #27: 
original: https://policy.pinterest.com/privacy-policy
inserido: https://policy.pinterest.com/privacy-policy
posicao: 28
,item #28: 
original: http://www.google.com/intl/en/policies/privacy/
inserido: http://www.google.com/intl/en/policies/privacy/
posicao: 29
,item #29: 
original: https://www.notion.so/stickerlyapp/Sticker-ly-Privacy-Policy-c40b0b551f9c442aaaa74fcc202a22a8
inserido: https://www.notion.so/stickerlyapp/Sticker-ly-Privacy-Policy-c40b0b551f9c442aaaa74fcc202a22a8
posicao: 30
,item #30: 
original: https://www.uber.com/privacy
inserido: https://www.uber.com/privacy
posicao: 31
,item #31: 
original: http://ayuda.mercadolibre.com.ar/ayuda/Politicas-de-privacidad_993
inserido: http://ayuda.mercadolibre.com.ar/ayuda/Politicas-de-privacidad_993
posicao: 32
,item #32: 
original: https://www.whatsapp.com/legal/business-terms/
inserido: https://www.whatsapp.com/legal/business-terms/
posicao: 33
,item #33: 
original: https://www.serasaconsumidor.com.br/politicas-do-site
inserido: https://www.serasaconsumidor.com.br/politicas-do-site
posicao: 34
,item #34: 
original: http://ryzerdeveloper.site/pobreflix/privacy-policy
inserido: https://www.google.com.br/
posicao: 35
,item #35: 
original: https://www.tiktok.com/legal/privacy-policy
inserido: https://www.google.com.br/
posicao: 36
,item #36: 
original: http://www.amazon.com/gp/help/customer/display.html?nodeId=468496
inserido: http://www.amazon.com/gp/help/customer/display.html?nodeId=468496
posicao: 37
,item #37: 
original: https://inshot.dev/privacypolicy.html
inserido: https://inshot.dev/privacypolicy.html
posicao: 38
,item #38: 
original: mailto:megahdfilmes@protonmail.com
inserido: https://www.google.com.br/
posicao: 39
,item #39: 
original: https://m.casasbahia.com.br/atendimento/politica-privacidade
inserido: https://m.casasbahia.com.br/atendimento/politica-privacidade
posicao: 40
,item #40: 
original: https://zeroum.com.br/luccastoon/termos/
inserido: https://www.google.com.br/
posicao: 41
,item #41: 
original: http://www.lojasrenner.com.br/privacidade-seguranca;jsessionid=fhdvW7Qdz4nFTDcSHwGWJyQyLBSL7sJFHKcs5h1RS3ZKJJKwfR8J!704347883
inserido: http://www.lojasrenner.com.br/privacidade-seguranca;jsessionid=fhdvW7Qdz4nFTDcSHwGWJyQyLBSL7sJFHKcs5h1RS3ZKJJKwfR8J!704347883
posicao: 42
,item #42: 
original: http://appsinnova.com/privacy-policy.html
inserido: http://appsinnova.com/privacy-policy.html
posicao: 43
,item #43: 
original: https://empregabrasil.mte.gov.br/politica-de-privacidade/
inserido: https://empregabrasil.mte.gov.br/politica-de-privacidade/
posicao: 44
,item #44: 
original: https://www.buscape.com.br/politica-de-privacidade
inserido: https://www.buscape.com.br/politica-de-privacidade
posicao: 45
,item #45: 
original: https://www.spotify.com/legal/privacy-policy/
inserido: https://www.spotify.com/legal/privacy-policy/
posicao: 46
,item #46: 
original: http://www.google.com/policies/privacy
inserido: http://www.google.com/policies/privacy
posicao: 47
,item #47: 
original: https://www.facebook.com/about/privacy/
inserido: https://www.facebook.com/about/privacy/
posicao: 48
,item #48: 
original: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
inserido: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
posicao: 49
,item #49: 
original: http://www.google.com/policies/privacy
inserido: http://www.google.com/policies/privacy
posicao: 50
,item #50: 
original: https://www.larkplayer.com/privacyPolicy.html
inserido: https://www.larkplayer.com/privacyPolicy.html
posicao: 51
,item #51: 
original: https://telegram.org/privacy
inserido: https://telegram.org/privacy
posicao: 52
,item #52: 
original: https://mobile.like.video/live/about/policy
inserido: https://mobile.like.video/live/about/policy
posicao: 53
,item #53: 
original: https://s3.amazonaws.com/institucional-privacidade-termos-prod/Pol%C3%ADtica_de_Privacidade_e_Termo_de_Uso.html
inserido: https://s3.amazonaws.com/institucional-privacidade-termos-prod/Pol%C3%ADtica_de_Privacidade_e_Termo_de_Uso.html
posicao: 54
,item #54: 
original: https://ibispaint.com/privacy.jsp#policy
inserido: https://ibispaint.com/privacy.jsp#policy
posicao: 55
,item #55: 
original: https://m.facebook.com/policy.php
inserido: https://m.facebook.com/policy.php
posicao: 56
,item #56: 
original: https://web.vivo.com.br/pages/legal/terms-and-conditions-index
inserido: https://web.vivo.com.br/pages/legal/terms-and-conditions-index
posicao: 57
,item #57: 
original: https://www.facebook.com/about/privacy/
inserido: https://www.facebook.com/about/privacy/
posicao: 58
,item #58: 
original: https://picsart.com/privacy-policy
inserido: https://picsart.com/privacy-policy
posicao: 59
,item #59: 
original: https://fann.im/about/
inserido: https://fann.im/about/
posicao: 60
,item #60: 
original: http://inshotapp.com/website/InShotAndroid/privacypolicy.html
inserido: http://inshotapp.com/website/InShotAndroid/privacypolicy.html
posicao: 61
,item #61: 
original: https://terms.zapeeapp.com/terms/zapee_en.html
inserido: https://terms.zapeeapp.com/terms/zapee_en.html
posicao: 62
,item #62: 
original: http://www.olx.com.br/privacy_policy.htm
inserido: http://www.olx.com.br/privacy_policy.htm
posicao: 63
,item #63: 
original: http://brainly.com/pages/terms_of_use
inserido: http://brainly.com/pages/terms_of_use
posicao: 64
,item #64: 
original: http://twitter.com/privacy
inserido: http://twitter.com/privacy
posicao: 65
,item #65: 
original: https://sites.google.com/view/onefamliy2
inserido: https://sites.google.com/view/onefamliy2
posicao: 66
,item #66: 
original: https://www.amedigital.com/politica-de-privacidade/
inserido: https://www.amedigital.com/politica-de-privacidade/
posicao: 67
,item #67: 
original: http://www.netshoes.com.br/institucional/politica-de-privacidade
inserido: http://www.netshoes.com.br/institucional/politica-de-privacidade
posicao: 68
,item #68: 
original: https://www.bb.com.br/pbb/pagina-inicial/voce/politicas-de-uso-e-privacidade#/
inserido: https://www.bb.com.br/pbb/pagina-inicial/voce/politicas-de-uso-e-privacidade#/
posicao: 69
,item #69: 
original: https://www.bradescoseguranca.com.br/portal/layout/temas/seguranca-corporativa/pdf/Diretivas-de-Privacidade-Mobile.pdf
inserido: https://www.bradescoseguranca.com.br/portal/layout/temas/seguranca-corporativa/pdf/Diretivas-de-Privacidade-Mobile.pdf
posicao: 70
,item #70: 
original: http://www.cea.com.br/politicas-cea#politica-privacidade
inserido: http://www.cea.com.br/politicas-cea#politica-privacidade
posicao: 71
,item #71: 
original: https://www.fontskeyboard.com/privacy.html
inserido: https://www.fontskeyboard.com/privacy.html
posicao: 72
,item #72: 
original: https://www.shoptime.com.br/landingpage/politicadeprivacidade
inserido: https://www.shoptime.com.br/landingpage/politicadeprivacidade
posicao: 73
,item #73: 
original: https://www.carrefour.com.br/app/politica-de-privacidade
