item #300: 
original: http://sdmaid.darken.eu/privacy
inserido: http://sdmaid.darken.eu/privacy
posicao: 1
,item #301: 
original: https://docs.google.com/document/d/1dcQVLXe72IfFAaXKVdVU0vl09mbMDz3J7rxPWeCnhzM/edit?usp=sharing
inserido: https://www.google.com.br/
posicao: 2
,item #302: 
original: https://ithersta.github.io/privacy_policy.html
inserido: https://www.google.com.br/
posicao: 3
,item #303: 
original: http://tocaboca.com/privacy
inserido: https://www.google.com.br/
posicao: 4
,item #304: 
original: http://en.privacy-policy.wakdev.com/
inserido: http://en.privacy-policy.wakdev.com/
posicao: 5
